DOI,Affiliations
10.1007/s11036-017-0845-6,"Northeast Normal University, Changchun, China"
10.3892/etm.2017.4608,"Department of Radiotherapy, Tumor Hospital of First People’s Hospital of Foshan, Foshan, 528041, Guangdong, China"
10.1016/j.biopha.2017.05.110,"Department of Breast and Thyroid Surgery, Shandong Provincial Hospital Affiliated to Shandong University, Jinan, 250021, China; Department of Hepatobiliary Surgery, Tai'an city Central Hospital, Tai'an, 271000, China; Department of Rehabilitation, Tai'an city Central Hospital, Taian, 271000, China; The Department of Vascular Surgery, Tai'an city Central Hospital, Taian, 271000, China; Department of Nuclear Medicine Tai'an city Central Hospital, Taian, 271000, China; Department of Breast Surgery Tai'an city Central Hospital, Taian, 271000, China"
10.1002/jcb.26289,"Weldon School of Biomedical Engineering, Purdue University, West Lafayette, United States; Department of Orthopaedic Surgery, Indiana University School of Medicine, Indianapolis, IN 46202, United States; Department of Anatomy and Cell Biology, Indiana University School of Medicine, United States; Children's Clinical Research Center, Riley Hospital for Children, Indiana University Health, Indianapolis, IN 46202, United States; Department of Biomedical and Applied Sciences, Indiana University School of Dentistry, Indianapolis, IN 46202, United States"
10.1109/TEMC.2017.2674179,"UAq EMC Laboratory, Department of Industrial and Information Engineering and Economics, University of l'Aquila, L'Aquila, 67100, Italy; IBM Systems Group, Research Triangle Park, 27709, NC, United States; LAIRD Technologies, Manchester, 03103, NH, United States; Electrical and Electronics Engineering, Missouri University of Science and Technology, Rolla, 65401, MO, United States"
10.3892/etm.2017.4685,"Ear, Nose and Throat Department, Xinxiang Central Hospital, Xinxiang, 453000, Henan, China"
10.1109/TEMC.2017.2674183,"UAq Electromagnetic Compatibility Laboratory, Department of Industrial and Information Engineering and Economics, University of l'Aquila, L'Aquila, 67100, Italy; IBM Systems Group, Durham, 27709, NC, United States; LAIRD Technologies, Manchester, 03103, NH, United States; Electrical and Electronics Engineering Department, Missouri University of Science and Technology, Rolla, 65401, MO, United States"
10.1186/s13287-017-0617-z,"Department of Critical Care Medicine, Nanjing Zhongda Hospital, School of Medicine, Southeast University, Nanjing, 210009, China; Department of Critical Care Medicine, Affiliated Hospital of University of Electronic Science and Technology, China and Sichuan Provincial People's Hospital, Chengdu, 610072, China"
10.18632/oncotarget.20552,"Department of Pathology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, 100730, China; Department of Respiratory Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, 100730, China; Department of Medical Imaging, Beijing Huairou Hospital, University of Chinese Academy of Science, Beijing, 101400, China"
10.1007/s12026-017-8928-9,"Institute of Rheumatology and Immunology, Affiliated Hospital of North Sichuan Medical College, Nanchong, 637000, Sichuan, China; Laboratory of Experimental Surgery, Hadassah-Hebrew University Medical Center, Mount Scopus, Sderot Churchill, Jerusalem, 91240, Israel"
10.1159/000478957,"Department of Orthopaedics, Shanghai Fengxian Central Hospital, South Campus of Shanghai Sixth People's Hospital, Shanghai Jiaotong University, No. 6600, NanFeng Road, Shanghai, 201499, China; Department of Orthopaedics, Shanghai Sixth People's Hospital, Shanghai Jiaotong University, Shanghai, China; Department of Orthopedics, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China"
10.1152/ajprenal.00620.2016,"Division of Nephrology, Department of Medicine, College of Medicine, The Pennsylvania State University, Hershey, PA, United States; Department of Comparative Medicine, College of Medicine, The Pennsylvania State University, Hershey, PA, United States; Department of Microbiology and Molecular Genetics, University of Pittsburgh, Pittsburgh, PA, United States; Department of Medicine, University of Texas Health Science Center San Antonio, San Antonio, TX, United States; Department of C&M Physiology, College of Medicine, The Pennsylvania State University, Hershey, PA, United States"
10.1038/nature22821,"Program in Cellular and Molecular Medicine, Boston Children's Hospital, Department of Pediatrics, Harvard Medical School, Boston, 02115, MA, United States; Department of Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, MA, United States; Laboratory for Lymphocyte Dynamics, Rockefeller University, New York City, NY, United States; Center for Behavioral Brain Sciences (CBBS), Otto-von-Guericke-University Magdeburg, Magdeburg, Germany; Department of Cancer Biology, MedImmune LLC, Gaithersburg, 20878, MD, United States"
10.1371/journal.pone.0182823,"Department of Botany, Cytogenetics, Genetics and Plant Breeding Section, Kalyani University, Kalyani, Nadia, West Bengal, India; Department of Botany, Pteridology and Palaeobotany Section, Kalyani University, Kalyani, Nadia, West Bengal, India; Department of Botany, A.B.N. Seal College, Cooch Behar, West Bengal, India"
10.1186/s13045-017-0493-0,"Cancer Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, 1277 JieFang Avenue, Wuhan, 430022, China; Experimental Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, 1277, JieFang Avenue, Wuhan, 430022, China; Institute of Hematology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, 1277 JieFang Avenue, Wuhan, 430022, China"
10.2217/rme-2017-0043,"Department of Pediatrics, Juntendo University Shizuoka Hospital, Izunokuni, Nagaoka, 1129, Shizuoka, Japan; Department of Cosmetics & Regenerative medicine, Renais Clinic, Tokyo, Japan; Department of Cosmetics & Regenerative medicine, Sun Field Clinic, Tokyo, Japan; BioMimetics Sympathies Inc., Tokyo, Japan"
10.1016/j.comptc.2017.04.004,"Institute of Physics of Molecules and Crystals, Ufa Scientific Center, Russian Academy of Sciences, Prosp. Oktyabrya, 151, Ufa, 450075, Russian Federation; Ufa State Petroleum Technological University, Kosmonavtov,1, Ufa, 450062, Russian Federation"
10.1016/j.actbio.2017.06.010,"Frontier Institute of Science and Technology, State Key Laboratory for Mechanical Behavior of Materials, Xi'an Jiaotong University, Xi'an, 710049, China; Department of Biomedical Engineering, University of Michigan, Ann Arbor, 48109, MI, United States; Department of Biologic and Materials Sciences, University of Michigan, Ann Arbor, 48109, MI, United States; Macromolecular Science and Engineering Center, University of Michigan, Ann Arbor, 48109, MI, United States; Department of Materials Science and Engineering, University of Michigan, Ann Arbor, 48109, MI, United States"
10.3892/ijo.2017.4034,"Department of Pathology, First Affiliated Hospital, Zhengzhou University, 1 Jianshe Road, Erqi, Zhengzhou, Henan, 450052, China"
10.2147/OTT.S138217,"Department of Obstetrics and Gynecology, Qilu Hospital of Shandong University, Shandong, China; Department of Obstetrics and Gynecology, Handan Central Hospital, Handan, China"
10.1093/brain/awx117,"Department of Neuroscience, IRCCS-Istituto di Ricerche Farmacologiche Mario Negri, Via G. La Masa 19, Milan, 20156, Italy; Department of Clinical and Experimental Epilepsy, University College London, London, United Kingdom; Metabolomics and Proteomics Unit, Bambino Gesù Children's Hospital, IRCCS, Rome, Italy; Department of Pharmaceutical Sciences, University of Colorado Denver, Aurora, CO, United States; Department of (Neuro)Pathology, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Department of Translational Medical Sciences, Section of Pediatrics, Federico II University, Naples, Italy; Stichting Epilepsie Instellingen Nederland, Amsterdam, Netherlands; MRC Centre for Drug Safety Science, Department of Molecular and Clinical Pharmacology, University of Liverpool, Liverpool, United Kingdom"
10.2147/OTT.S139443,"Department of Pharmacy, Kunming Medical University, Kunming, China; Yan’an Hospital Affiliated to Kunming Medical University, Kunming, China"
10.2147/OTT.S79727,"Department of Oncology, The First People’s Hospital Affiliated to Shanghai Jiaotong University, Shanghai, China"
10.1109/ICCSP.2017.8286783,"Electronics and Telecommunication Department, MKSSS's Cummins College of Engineering for Women, Pune, India"
10.1186/s12943-017-0677-9,"Shengjing Hospital of China Medical University, Department of Neurosurgery, Shenyang, 110004, China; Liaoning Clinical Medical Research Center in Nervous System Disease, Shenyang, 110004, China; Key Laboratory of Neuro-oncology in Liaoning Province, Shenyang, 110004, China; China Medical University, Department of Neurobiology, College of Basic Medicine, Shenyang, 110122, China; China Medical University, Key Laboratory of Cell Biology, Ministry of Public Health of China, Shenyang, 110122, China; China Medical University, Key Laboratory of Medical Cell Biology, Ministry of Education of China, Shenyang, 110122, China"
10.1080/00986445.2017.1302943,"Grupo de Investigación en Fenómenos de Superficie–Michael Polanyi, Facultad de Minas, Universidad Nacional de Colombia Sede Medellín, Medellín, Colombia; Grupo de Investigación en Yacimientos de Hidrocarburos, Facultad de Minas, Universidad Nacional de Colombia Sede Medellín, Medellín, Colombia; Department of Chemical Engineering, University Avenue, Laramie, WY, United States"
10.1177/1010428317719273,"Department of Neurosurgery, The First Hospital of Jilin University, Changchun, China; Department of Ophthalmology, The Second Hospital of Jilin University, Changchun, China"
10.3389/fnmol.2017.00194,"Department of Neurobiology, College of Basic Medicine, China Medical University, Shenyang, China; Key Laboratory of Cell Biology, Ministry of Public Health of China, and Key Laboratory of Medical Cell Biology, Ministry of Education of China, China Medical University, Shenyang, China; No. 1 English Department, School of Fundamental Sciences, China Medical University, Shenyang, China; Department of Neurosurgery, Shengjing Hospital of China Medical University, Shenyang, China; Liaoning Research Center for Translational Medicine in Nervous System Disease, Shenyang, China"
10.1042/BSR20170109,"Department of Otorhinolaryngology, Head and Neck Surgery, First Affiliated Hospital of Nanchang University, Nanchang, 330006, China; Department of Blood Transfusion, First Affiliated Hospital of Nanchang University, Nanchang, 330006, China"
10.18632/oncotarget.17674,"International Medical Center, Xiangya Hospital, Central South University, Changsha, 410008, China; Department of Medical Oncology, Affiliated Cancer Hospital of Xiangya School of Medicine, Central South University, Changsha, 410008, China; Department of Oncology, Xiangya Hospital, Central South University, Changsha, 410008, China; School of Information Science and Engineering, Central South University, Changsha, 410008, China"
10.1002/cjce.21632,"Engineering Faculty, Mechanical Engineering Department, Ferdowsi University of Mashhad, P.O. Box 9177948944-1111, Mashhad, Iran"
10.12659/MSM.906027,"Department of Endocrinology, Beijing University of Chinese Medicine, Beijing, China; Key Laboratory of Health Cultivation of the Ministry of Education, Beijing University of Chinese Medicine, Beijing, China; Preventive Treatment of Disease Centre, Chinese Medicine Hospital of Baoan, Shenzhen, Guangdong, China; Beijing Key Laboratory of Health Cultivation, Beijing University of Chinese Medicine, Beijing, China; Department of Science and Technology, Beijing University of Chinese Medicine, Beijing, China"
10.1002/bdd.2060,"Department of Clinical Pharmacology and Therapeutics, Seoul St Mary's Hospital, Seoul, South Korea; PIPET (Pharmacometrics Institute for Practical Education and Training), College of Medicine, Catholic University of Korea, Seoul, South Korea; Department of Clinical Pharmacology, Severance Hospital, Yonsei University College of Medicine, Seoul, South Korea; C&R Research Inc., Seoul, South Korea"
10.1159/000464379,"Clinical Medicine School, Ningxia Medical University, Yinchuan, China; Department of Laboratory Medicine, Sixth People's Hospital of Yancheng City, Yancheng, China; Department of Laboratory Medicine, TCM Hospital of Yancheng City Affiliated, Nanjing University of Chinese Medicine, Yancheng, China; Department of Oncology, Yancheng Hospital Affiliated, Medical College of Southeast University, Third People's Hospital of Yancheng City, Yancheng, China; Department of Pathology, First People's Hospital of Yancheng City, Yancheng, China; Department of Pathology, Sixth People's Hospital of Yancheng City, Yancheng, China"
10.1371/journal.pntd.0004738,"Department of Physiology, NUS Immunology Programme, Centre for Life Sciences, Yong Loo Lin School of Medicine, National University Health System (NUHS), National University of Singapore, Singapore; Integrated Toxicology Division, US Army Medical Research Institute of Infectious Diseases, Fort Detrick, MD, United States; Department of Pharmacology, Yong Loo Lin School of Medicine, NUHS, National University of Singapore, Singapore; Department of Biology, Wilson College, Chambersburg, PA, United States"
10.1016/j.ijleo.2017.03.074,"Lab Mat. Sci., Facultad de Ciencias Químicas, Universidad Autónoma de Puebla, Ciudad Universitaria, P.O. Box 1067, Puebla, C.P. 72001, Pue., Mexico; Posgrado en Optoelectrónica, Facultad de Ciencias Físico-Matemáticas, Mexico; Fac De Ingenieria Quimica BUAP, Mexico; Instituto de Fisica-IFUAP, Mexico"
10.1007/s12022-017-9478-3,"Sunnybrook Health Sciences Centre, Toronto, M4N 3M5, ON, Canada; Department of Medicine (Dipartimento di Medicina Specialistica Diagnostica e Sperimentale), University of Bologna School of Medicine, Anatomic Pathology, Ospedale Bellaria, Via Altura 3, Bologna, 40139, Italy; Department of Pathology, Memorial Sloan-Kettering Cancer Center, 1275 York Avenue, New York, 10021, NY, United States"
10.1371/journal.pone.0175553,"Department of Orthopaedic Surgery, Nanyang Second People's Hospital, Nanyang, Henan, China; Department of Medical Oncology, Nanyang Second People's Hospital, Nanyang, Henan, China"
10.1002/jhet.2781,"Faculty of Chemistry, Kharazmi University, No. 43, P. Code 15719-14911, Mofateh Avenue, Tehran, Iran"
10.1016/j.cyto.2017.01.008,"Department of Clinical Laboratory and Clinical Immunology, Medical University of Sofia, University Hospital St. Ivan Rilski, bul. Acad. Ivan Evst. Geshov 15, Sofia, 1431, Bulgaria; Department of Internal Medicine, Medical University of Sofia, Clinic of Gastroenterology, University Hospital St. Ivan Rilski, Acad. Ivan Evst. Geshov 15 Blvd., Sofia, 1431, Bulgaria; Department of Molecular Biology, Immunology and Medical Genetics, Medical Faculty, Trakia University, Armeiska 11 Str., Stara Zagora, 6000, Bulgaria; University Hospital Lozenets, Sofia University, ul. Kozyak 1, Sofia, Bulgaria"
10.1128/AEM.03445-16,"Institute of Food, Nutrition and Health, ETH Zurich, Zurich, Switzerland; Animal Biosciences and Biotechnology Laboratory, ANRI, NEA, ARS, U.S. Department of Agriculture, Beltsville, MD, United States"
10.1002/cam4.1030,"Department of Plastic and Reconstructive Surgery, Xijing Hospital, Fourth Military Medical University, Xi'an, 710032, China; Department of Burn and Plastic Surgery, The 253rd Hospital of PLA, Hohhot, 010051, Inner Mongolia, China; Department of Otolaryngology-Head and Neck Surgery, The Fourth People's Hospital of Shaanxi Province, Xi'an, 710043, China; Department of Otolaryngology-Head and Neck Surgery, Xijing Hospital, Fourth Military Medical University, Xi'an, 710032, China"
10.1080/15384101.2017.1301334,"The E.N.T Department, The First affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China"
10.1007/s12350-016-0452-0,"Cardiology Division, Department of Medicine, University of Rochester Medical Center, Box 679-N, Rochester, 14642, NY, United States; Nuclear Medicine Division, Department of Imaging Sciences, University of Rochester Medical Center, Rochester, NY, United States"
10.3892/or.2017.5604,"Department of Chemoradiotherapy, First Affiliated Hospital, Wenzhou Medical University, Wenzhou, Zhejiang, 325000, China; Laboratory for Interdisciplinary Research, Institution for Translational Medicine, First Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, 325000, China; Department of Pharmacy, First Affiliated Hospital, Wenzhou Medical University, Wenzhou, Zhejiang, 325000, China"
10.1128/MCB.01170-13,"Univ. Grenoble Alpes Laboratory for Fundamental, Applied Bioenergetic (LBFA), Grenoble, France; INSERM U1055, Grenoble, France; INSERM UMR-1060, Laboratoire CarMeN, Université Lyon 1, Facultés de médecine Charles Merieux Lyon-Sud, Lyon, France; Institute of Biochemistry and Cell Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai, China"
10.1159/000477118,"Department of Pathogen Biology and Immunology, Xi'an Jiaotong University Health Science center, Xi'an, China; Fourth internal medicine, Xi'an Chest Hospital, Xi'an, China; Second internal medicine, Xi'an Chest Hospital, Xi'an, China; Department of Gastroenterology, Qianfoshan Hospital of Shandong Province, No.16766, Jingshi Road, Jinan, Shandong Province, 250014, China"
10.3892/etm.2017.4367,"Department of Colorectal Surgery, The Sixth Affiliated Hospital, Sun Yat-sen University, Guangzhou, 510655, Guangdong, China; Department of Gastroenterology, The Third Affiliated Hospital of Nanchang University, Nanchang, 330006, Jiangxi, China"
10.1038/emm.2016.173,"Guangxi Engineering Center in Biomedical Materials for Tissue and Organ Regeneration, First Affiliated Hospital of Guangxi Medical University, 6# Shuangyong Road, Nanning, Guangxi, 530021, China; Guangxi Collaborative Innovation Center for Biomedicine, First Affiliated Hospital of Guangxi Medical University, Nanning, China; Guangxi Key Laboratory of Regenerative Medicine, First Affiliated Hospital of Guangxi Medical University, Nanning, China; Medical and Scientific Research Center, Guangxi Medical University, Nanning, China; National Engineering Research Center for Biomaterials, Sichuan University, Chengdu, China"
10.1016/j.gie.2016.09.017,"Division of Gastroenterology, Johns Hopkins Hospital, Baltimore, Maryland, United States; Digestive Diseases Center, Showa University Koto-Toyosu Hospital, Tokyo, Japan; Prince of Wales Hospital, The Chinese University of Hong Kong, Hong Kong; Shivanand Desai Center for Digestive Disorders, Deenanath Mangeshkar Hospital and Research Center, Pune, India; Department of Surgery, NorthShore University HealthSystem, Chicago, Illinois, United States; Surat Institute Of Digestive Sciences, Surat, India; Department of Gastroenterology, Kings College Hospital NHS Foundation Trust, London, United Kingdom; Department of Gastrointestinal and Endocrine Surgery, University of Strasbourg, Strasbourg, France; Gastroenterology and Endoscopy Unit, Digestive Disease Department, L Pavillon-Edouard Herriot Hospital, Lyon, France; Université de Lyon and Hospices Civils de Lyon, Digestive Physiology, E Herriot Hospital, Lyon, France; INSERM U1032, Lyon, France; Digestive Endoscopy Unit, Division of Gastroenterology, Humanitas Research Hospital, Milan, Italy"
10.1093/gji/ggw492,"National Center for Computational Sciences, Oak Ridge National Laboratory, One Bethel Valley Road, Oak Ridge, 37831-6008, TN, United States"
10.1371/journal.pone.0177625,"Institute of Information and Navigation, Air Force Engineering University, Xi'an, Shanxi, China; PLA Stationed in Reserve Training Office of Lanzhou University, Lanzhou Jiaotong University, Lanzhou, Gansu, China"
10.1186/s12906-017-1642-2,"Capital Medical University, Department of Traditional Chinese Medicine, Beijing Tiantan Hospital, Beijing, 100050, China; Capital Medical University, School of Traditional Chinese Medicine, Beijing Key Lab of TCM Collateral Disease Theory Research, Beijing, 100069, China; Guang An Men Hospital of China Academy of Chinese Medical Sciences, Oncology Department, Beijing, 100053, China"
10.1007/s12555-015-0401-8,"Department of Electrical Engineering, National United University, No. 2, Lienda, Nan-Shi Li, Miaoli, 36063, Taiwan"
10.3892/ijo.2017.3941,"Department of General Surgery, Affiliated Hospital, Southwest Medical University, 25 Taiping Street, Jiangyang, Luzhou, Sichuan, 646000, China; Department of Nursing, Southwest Medical University, Luzhou, Sichuan, 646000, China"
10.1016/j.ultramic.2016.12.024,"National Center for Electron Microscopy in Beijing, Key Laboratory of Advanced Materials (MOE), The State Key Laboratory of New Ceramics and Fine Processing, School of Materials Science and Engineering, Tsinghua University, Beijing, 100084, China; Peter Grünberg Institute, Ernst Ruska-Centre for Microscopy and Spectroscopy with Electrons (ER-C), Forschungszentrum Jülich, Jülich, 52425, Germany; Graduate School of Pure & Applied Science and Faculty of Pure & Applied Science, University of Tsukuba, Tennodai 1-1-1, Tsukuba, 305-7571, Ibaraki, Japan; Central Facility for Electron Microscopy, RWTH Aachen University, Aachen, 52074, Germany"
10.3892/ijo.2017.3928,"Department of Orthopedic Surgery, Shengjing Hospital of China Medical University, 36 Sanhao Street, Heping, Shenyang, Liaoning, 110004, China; Department of Electrotheropy, Shenyang Medical College Affiliated Central Hospital, Shenyang, Liaoning, China"
10.1016/j.cortex.2017.02.014,"Institute of Psychological Research and Leiden Institute for Brain and Cognition, Leiden University, Leiden, Netherlands; Cognitive Neurophysiology, Department of Child and Adolescent Psychiatry, Faculty of Medicine of TU Dresden, Dresden, Germany; Department of Clinical Neurophysiology, Georg-August University Göttingen, Göttingen, Germany; Leibniz Research Centre for Working Environment and Human Factors, Dortmund, Germany; Department of Neurology, University Medical Hospital Bergmannsheil, Bochum, Germany; Center for Lifespan Psychology, Max Planck Institute for Human Development, Berlin, Germany; Department of Psychiatry and Psychotherapy, University Clinic Hamburg-Eppendorf, Hamburg, Germany; Department of Cognitive Psychology, Institute of Cognitive Neuroscience, Faculty of Psychology, Ruhr University Bochum, Bochum, Germany; Institute for Sports and Sport Science, University of Kassel, Kassel, Germany"
10.1109/TEMC.2016.2621163,"Department of Electrical and Electronics Engineering, Sakarya University, Sakarya, 54187, Turkey; UAq EMC Laboratory, Department of Industrial and Information Engineering and Economics, University of l'Aquila, L'Aquila, 67100, Italy"
10.1159/000464430,"Shanghai General Hospital, Department of Ophthalmology, Shanghai Jiao Tong University School of Medicine, No. 100 Haining Road, Hongkou District, Shanghai, 200080, China; Department of Gastric Cancer Surgery, Fudan University, Shanghai Cancer Center, No. 270, Dongan Road, Xuhui District, Shanghai, 200032, China; Department of Oncology, Shanghai Medical College, Fudan University, Shanghai, China; Department of Medicine, Shigatse People's Hospital, Shigatse, China"
10.1016/j.ijom.2016.11.015,"Charm Aesthetic Surgery Center, Taipei, Taiwan; School of Dentistry, Taipei Medical University, Taipei, Taiwan; Department of Otolaryngology – Head & Neck Surgery, Cathay General Hospital, Taipei, Taiwan; School of Medicine, Fu Jen Catholic University, Taipei, Taiwan; Division of Sleep Surgery, Department of Otolaryngology – Head & Neck Surgery, School of Medicine, Stanford University, Stanford, CA, United States"
10.1016/j.antiviral.2017.03.017,"Research Institute of General Pathology and Pathophysiology, Moscow, 125315, Russian Federation; OOO “NPF “MATERIA MEDICA HOLDING”, Moscow, 129272, Russian Federation; National Heart and Lung Institute, Imperial College, London, SW7 2AZ, United Kingdom; National Research Center “Institute of Immunology” FMBA Russia, Moscow, 115478, Russian Federation"
10.1042/BSR20160578,"Department of Surgery, Dongying People's Hospital, Dongying, 257091, China; Department of Joint Surgery, Dongying People's Hospital, Dongying, 257091, China"
10.3996/122016-JFWM-089,"School of Renewable Natural Resources, Louisiana State University AgCenter, Baton Rouge, 70803, LA, United States; Department of Entomology and Wildlife Ecology, University of Delaware, Newark, 19716, DE, United States; U.S. Fish and Wildlife Service, Edwin B. Forsythe National Wildlife Refuge, Galloway, 08205, NJ, United States; Northeast Regional Office, Hadley, 01035, MA, United States; New Jersey Division of Fish and Wildlife, 2201 County Route 631, Woodbine, 08270, NJ, United States; U.S. Fish and Wildlife Service, Division of Migratory Bird Management, 11510 American Holly Drive, Laurel, 20708, MD, United States"
10.1016/j.mib.2017.03.015,"Instituto Multidisciplinario de Biología Vegetal, FCEFyN (CONICET-Universidad Nacional de Córdoba), Vélez Sarsfield 1611, CC 495, Córdoba, Argentina"
10.1159/000477389,"Department of Oncology, Third People's Hospital of Zhengzhou, 136 South Shuncheng Street, Guancheng District, Zhengzhou, 450000, China; Department of Obstetrical, Women and Infants Hospital of Zhengzhou, Zhengzhou, China"
10.1371/journal.pone.0179017,"Department of Psychology, St. Mary’s University, Twickenham, United Kingdom; Nutritional Therapy CNHC mBANT, Twickenham, United Kingdom"
10.1021/acsami.7b01424,"Department of Electrical and Computer Engineering, The Ohio State University, Columbus, 43210, OH, United States; Department of Electrical Engineering, Stanford University, Stanford, 94305, CA, United States; Université Bordeaux 1, CNRS, UMR 5218, Talence, 33405, France; Center for High Technology Materials, University of New Mexico, Albuquerque, 87106, NM, United States; University of Wisconsin-Madison, Madison, 53706, WI, United States; Department of Chemical and Nuclear Engineering, University of New Mexico, Albuquerque, 87131, NM, United States; Center for Micro-Engineered Materials, University of New Mexico, Albuquerque, 87106, NM, United States"
10.1038/hr.2016.169,"Department of Cardiology, First Affiliated Hospital, Soochow University, 188 Shizi Road, Suzhou City, Jiangsu Province, 215006, China; Department of Cardiology, Suzhou Municipal Hospital, Affiliated to Nanjing Medical University, Suzhou City, Jiangsu Province, China"
10.7150/jca.18848,"Department of Respiratory Medicine, Shanghai 10th People's Hospital, Tongji University, Shanghai, 200072, China; Department of Endocrinology, Xinhua Hospital, Shanghai Jiaotong University School of Medicine, Shanghai, 200092, China; Institute of Biochemistry and Biology, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai, 200031, China"
10.1042/BSR20160519,"Section of Inner Mongolia Medical University Affiliated Hospital Otorhinolaryngology, Inner Mongolia Medical University Affiliated Hospital, Hohhot, Inner Mongolia, 010050, China"
10.1016/j.matlet.2017.01.078,"Van ‘t Hoff Institute of Molecular Science (HIMS), University of Amsterdam, Science Park 904, XH Amsterdam, 1098, Netherlands"
10.21037/cdt.2017.03.04,"Cardiology Unit, Presidio Sanitario Intermedio Elena d'Aosta, ASL Napoli 1 Centro, via P.Gaurico 21, Napoli, 80125, Italy; Geriatric Department, Casa di Cura S.Maria del Pozzo, Somma Vesuviana (Napoli), Italy"
10.1088/1402-4896/aa6e8b,"IPNL, CNRS/IN2P3, Université de Lyon, UCBL, Villeurbanne Cedex, F-69622, France; CSNSM, CNRS/IN2P3, Université Paris Sud, Orsay, F-91405, France"
10.1038/sj.bdj.2017.355,"Kilbarrack Dental Care, Oral Surgery, York Road, Ringsend, Dublin 4, Ireland"
10.3892/mmr.2017.6431,"Department of Biochemistry and Molecular Biology, College of Life Science, Zhejiang Sci-Tech University, 928 Second Avenue, Hangzhou, Zhejiang, 310018, China; Key Laboratory of Ministry of Education for Protection and Utilization of Special Biological Resources in Western China, Department of Biochemistry and Molecular Biology, College of Life Science, Ningxia University, Yinchuan, Ningxia, 750021, China"
10.1007/s40656-017-0138-1,"Fonds National de la Recherche Scientifique, Université Catholique de Louvain, Louvain-La-Neuve, Belgium"
10.12659/MSM.901055,"Department of Children Rehabilitation, Jining No. 1 People’s Hospital, Jining, Shandong, China"
10.12659/MSM.903377,"Department of Imaging, Yantai Yuhuangding Hospital, Yantai, Shandong, China; Department of Radiotherapy, The Second Affiliated Hospital of Qingdao University, Qingdao, Shandong, China; Department of Intensive Care Unit (ICU), The Second Affiliated Hospital of Qingdao University, Qingdao, Shandong, China; Department of Clinical Laboratory, People’s Hospital of Weifang, Weifang, Shandong, China"
10.1186/s13071-017-2089-5,"Laboratório de Entomologia Médica e Veterinária, Setor de Ciências Biológicas, Departamento de Zoologia, Universidade Federal do Paraná, Curitiba, 81531-980, Paraná, Brazil; Laboratório de Fisiologia e Controle de Artrópodes Vetores, Instituto Oswaldo Cruz-FIOCRUZ, Av. Brasil 4365, Rio de Janeiro-RJ, Brazil; Instituto Nacional de Ciência e Tecnologia em Entomologia Molecular, Rio de Janeiro, RJ, Brazil"
10.1007/s12517-017-3041-x,"Institut National de Recherches en Génie Rural, Eaux et Forêts INRGREF, B.P. 10, Ariana, 2080, Tunisia; Faculté des sciences de Tunis Campus Universitaire, Tunis, 2092, Tunisia; Centre de Biotechnologie de Borj Cedria CBBC, B.P. 901, Hammam-lif, 2050, Tunisia"
10.1016/j.cyto.2017.01.007,"Department of Sports Medicine, Justus-Liebig-University, Giessen, Germany; Department of Sport Injuries, Faculty of Physical Education and Sport Sciences, Allameh Tabataba'i University, Tehran, Iran"
10.3892/ol.2017.5709,"Department of Orthopedics, Affiliated Hospital of Qingdao University, Qingdao, 266003, Shandong, China; Department of Orthopedics, People's Hospital of Rizhao, Rizhao, 276826, Shandong, China"
10.3892/ijo.2017.3943,"Department of Aesthetic, Plastic and Burn Surgery, Shandong Provincial Hospital Affiliated to Shandong University, No. 324 Jingwu Road, Jinan, Shandong, 250021, China"
10.3892/mmr.2017.6257,"Department of Neurosurgery, Wuhan Gen. Hosp. of Guangzhou Command and Hubei Key Lab. of Ctrl. Nerv. Syst. Tumor and Intervention, 627 Wuluo Road, Wuhan, Hubei, 430070, China; Departments of Clinical Laboratory, China; Clinical Experiment, China; Science and Training, Wuhan General Hospital of Guangzhou Command, Wuhan, Hubei, 430070, China"
10.1007/s13311-016-0500-0,"National Animal Transmissible Spongiform Encephalopathy Laboratory and Key Laboratory of Animal Epidemiology and Zoonosis of Ministry of Agriculture, College of Veterinary Medicine and State Key Laboratory of Agrobiotechnology, China Agricultural University, Beijing, 100193, China; Mitchell Center for Neurodegenerative Diseases, Department of Neurology, University of Texas Medical Branch, Galveston, 77555-1044, TX, United States"
10.2147/IJN.S129436,"State Key Laboratory of Bioactive Substance and Function of Natural Medicines, Department of Pharmaceutics, Institute of Materia Medica, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China; Yanbian University Hospital, Jilin, China"
