Journal,Rank
Kant-Studien,17291
Kidney Cancer,17292
Kriterion (Austria),17293
Letters in Biomathematics,17294
Malacologia,17295
Nano Biomedicine and Engineering,17296
Pesquisa Agropecuaria Tropical,17297
Protection of Metals and Physical Chemistry of Surfaces,17298
Random Operators and Stochastic Equations,17299
Revista de Artes Marciales Asiaticas,17300
Sexologies,17301
South African Journal of Animal Sciences,17302
Strabismus,17303
Studies in Fungi,17304
Zbornik Instituta za Pedagoska Istrazivanja,17305
Acta Orthopaedica Belgica,17306
Analyse und Kritik,17307
Annals of Joint,17308
Arboricultural Journal,17309
Asian Journal of Agriculture and Biology,17310
Australian Journal of Linguistics,17311
Categories and General Algebraic Structures with Applications,17312
Chimia,17313
Critique Internationale,17314
Current Green Chemistry,17315
Egyptian Journal of Anaesthesia,17316
European Journal of Cultural and Political Sociology,17317
Fundamental and Applied Mathematics,17318
"International Journal of Aviation, Aeronautics, and Aerospace",17319
International Journal of Mathematics and Mathematical Sciences,17320
International Journal of Medical Engineering and Informatics,17321
International Journal of Productivity and Quality Management,17322
Iranian Journal of Child Neurology,17323
Islam and Christian-Muslim Relations,17324
JAMS Journal of Acupuncture and Meridian Studies,17325
Journal of Community Health Nursing,17326
Journal of Eta Maritime Science,17327
"Journal of Herbs, Spices and Medicinal Plants",17328
Journal of Historical Sociolinguistics,17329
Journal of Latin American Studies,17330
Journal of Law and Society,17331
Journal of Library Science in China,17332
Journal of Military Ethics,17333
Journal of Oil Palm Research,17334
Journal of Structured Finance,17335
Legal Studies,17336
Neurocirugia,17337
New Zealand Journal of Crop and Horticultural Science,17338
Noctua,17339
Open Public Health Journal,17340
Proceedings of the Entomological Society of Washington,17341
Res Philosophica,17342
Research in Educational Administration and Leadership,17343
Revista de Cancioneros Impresos y Manuscritos,17344
Slavery and Abolition,17345
Tec Empresarial,17346
Tropical Natural History,17347
Ultrasound,17348
Unfallchirurgie (Germany),17349
Acta Chimica Slovenica,17350
Advances in Condensed Matter Physics,17351
Anales del Jardin Botanico de Madrid,17352
Archive for the Psychology of Religion,17353
Archives of Automotive Engineering,17354
BioRisk,17355
Brazilian Journal of Occupational Therapy,17356
Bulletin of the Iraq Natural History Museum,17357
"Cancer Research, Statistics, and Treatment",17358
Central European Journal of Energetic Materials,17359
Economic Affairs,17360
Emirates Journal of Food and Agriculture,17361
Environmental Health Engineering and Management,17362
EPJ Nuclear Sciences and Technologies,17363
Estudios Eclesiasticos,17364
Eurasian Journal of Medicine and Oncology,17365
Exploration of Immunology,17366
Forensic Science International: Genetics Supplement Series,17367
Fragmenta Entomologica,17368
Fukushima Journal of Medical Sciences,17369
GeoScape,17370
"InterCarto, InterGIS",17371
International Journal of Design and Nature and Ecodynamics,17372
International Journal of Diabetes in Developing Countries,17373
International Journal of Supply and Operations Management,17374
Iranian Journal of Applied Animal Science,17375
Jornal Brasileiro de Psiquiatria,17376
Journal of Aerospace Technology and Management,17377
Journal of Comparative Politics,17378
Journal of Endometriosis and Pelvic Pain Disorders,17379
Journal of General Music Education,17380
Journal of Korean Academic Society of Nursing Education,17381
Journal of Korean Institute of Metals and Materials,17382
"Journal of Management, Spirituality and Religion",17383
"Journal of Numerical Analysis, Industrial and Applied Mathematics",17384
Journal of Opioid Management,17385
Journal of the ASEAN Federation of Endocrine Societies,17386
Journal of the British Academy,17387
Journal of World Energy Law and Business,17388
Kinetics and Catalysis,17389
Konstantinove Listy,17390
Korean Journal of Plant Taxonomy,17391
Outlooks on Pest Management,17392
Pravention und Gesundheitsforderung,17393
Praxis Educativa,17394
Progress In Electromagnetics Research M,17395
Revista de Sociologia e Politica,17396
Twentieth-Century Music,17397
Wader Study,17398
Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,17399
ACM International Conference Proceeding Series,17400
Advances in Pure and Applied Mathematics,17401
American Journal of Economics and Sociology,17402
Annals of Pancreatic Cancer,17403
Applications of Mathematics,17404
Baltic Journal of Modern Computing,17405
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie,17406
Case Reports in Medicine,17407
Environment and Natural Resources Journal,17408
Ethik in der Medizin,17409
"EUREKA, Physics and Engineering",17410
Geographia Technica,17411
Hsi-An Chiao Tung Ta Hsueh/Journal of Xi'an Jiaotong University,17412
Indian Journal of Marketing,17413
International Journal of Economic Policy in Emerging Economies,17414
International Journal of Engineering Systems Modelling and Simulation,17415
International Journal of Sociotechnology and Knowledge Development,17416
Journal of African American Studies,17417
Journal of Drug Policy Analysis,17418
Journal of Energy in Southern Africa,17419
Journal of Palestine Studies,17420
Journal of the Indian Ocean Region,17421
Mathematical Intelligencer,17422
Monte Carlo Methods and Applications,17423
Narodopisna Revue,17424
"New Materials, Compounds and Applications",17425
Novaya i Novejshaya Istoriya,17426
Polimeros,17427
Polish Journal of Veterinary Sciences,17428
Sociedade e Estado,17429
Transactions of the American Entomological Society,17430
Zolotoordynskoe Obozrenie,17431
Ambiente e Sociedade,17432
American Journal of Nursing,17433
Anti-Trafficking Review,17434
AORN Journal,17435
Archaeologia Historica,17436
Atalanta,17437
Bangladesh Journal of Medical Science,17438
Botanica Pacifica,17439
"Bulletin of Geography, Physical Geography Series",17440
Current Optics and Photonics,17441
Foundations and Trends in Electronic Design Automation,17442
Global Responsibility to Protect,17443
Historia Social,17444
International Journal for Ion Mobility Spectrometry,17445
International Journal of Management and Decision Making,17446
International Journal of Statistics in Medical Research,17447
International Journal of Web Based Communities,17448
Iranian Journal of Chemistry and Chemical Engineering,17449
Journal of Agricultural Resources and Environment,17450
Journal of Animal Health and Production,17451
Journal of Computational Biophysics and Chemistry,17452
Journal of Education,17453
Journal of Failure Analysis and Prevention,17454
Journal of Gemmology,17455
Journal of Human Sport and Exercise,17456
Journal of Human Values,17457
Journal of perioperative practice,17458
Journal of Visual Communication in Medicine,17459
Measurement Techniques,17460
Ming studies,17461
Molecular Astrophysics,17462
Nano,17463
Participatory Educational Research,17464
Plant Protection,17465
Planta Daninha,17466
Progress in Chemistry,17467
Progress in Reaction Kinetics and Mechanism,17468
Revista Transilvania,17469
Revue Biblique,17470
Sleep and Vigilance,17471
Social Psychology and Society,17472
South Asia: Journal of South Asia Studies,17473
"Tenside, Surfactants, Detergents",17474
Agriculture and Forestry,17475
Atmospheric and Oceanic Optics,17476
Atomic Energy,17477
Avicenna Journal of Nursing and Midwifery Care,17478
Biophysics (Russian Federation),17479
Biosurface and Biotribology,17480
Computer Optics,17481
Data and Metadata,17482
Ecological Genetics and Genomics,17483
Economic and Political Weekly,17484
Engineering Economist,17485
"Foundations and Trends in Technology, Information and Operations Management",17486
Global Cardiology Science and Practice,17487
IAENG International Journal of Applied Mathematics,17488
International Journal of Aquatic Biology,17489
International Journal of Data Warehousing and Mining,17490
International Journal of Decision Support System Technology,17491
International Journal of E-Services and Mobile Applications,17492
International Journal of Human Movement and Sports Sciences,17493
International Journal of Psychology and Psychological Therapy,17494
International Journal of Software Engineering and Knowledge Engineering,17495
Journal of Algorithms and Computational Technology,17496
Journal of Applied Logics,17497
Journal of Astronomy and Space Sciences,17498
Journal of Chiropractic Education,17499
Journal of Contemporary Mathematical Analysis,17500
Journal of Research of the National Institute of Standards and Technology,17501
Journal of Testing and Evaluation,17502
Journal of the Canadian Dental Association,17503
Kappa Delta Pi Record,17504
Logical Investigations,17505
Management,17506
Metrology and Measurement Systems,17507
Mineralogia,17508
Neural Network World,17509
Nukleonika,17510
Periodico di Mineralogia,17511
Rare Tumors,17512
Studia Quaternaria,17513
Swiss Journal of Sociology,17514
Urbano,17515
"Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition",17516
Zeitschrift fur Kristallographie - Crystalline Materials,17517
Agua y Territorio,17518
Anatolica,17519
Applied Mathematics and Nonlinear Sciences,17520
Archives of Thermodynamics,17521
Brazilian Archives of Biology and Technology,17522
Columbia Journal of Transnational Law,17523
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,17524
Comptes Rendus - Mecanique,17525
Economics and Business Letters,17526
Egyptian Liver Journal,17527
Electrica,17528
European Convention on Human Rights Law Review,17529
European Journal of Applied Linguistics and TEFL,17530
Experimental Oncology,17531
Finisterra,17532
Floresta e Ambiente,17533
Human Rights Quarterly,17534
Hydrological Research Letters,17535
Indian Journal of Nephrology,17536
Indian Journal of Surgical Oncology,17537
InterEULawEast,17538
International Forum of Psychoanalysis,17539
International Journal of Digital Multimedia Broadcasting,17540
International Journal of Quantum Information,17541
International Journal of Religious Tourism and Pilgrimage,17542
Journal of Asian Pacific Communication,17543
Journal of Multiscale Modeling,17544
Journal of the Chinese Society of Corrosion and Protection,17545
Journal of the Korean Society of Food Science and Nutrition,17546
Kuei Suan Jen Hsueh Pao/ Journal of the Chinese Ceramic Society,17547
Mathematical Modeling and Computing,17548
Pacific Focus,17549
Pedagogia Social,17550
Pediatric nursing,17551
Philanthropy and Education,17552
Plasma Research Express,17553
Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,17554
Publications de l'Institut Mathematique,17555
Quaderni Costituzionali,17556
Russian Journal of Ecology,17557
Social Security Bulletin,17558
South African Journal of Chemistry,17559
Texas Heart Institute Journal,17560
Turk Kardiyoloji Dernegi Arsivi,17561
Acta Horticulturae Sinica,17562
Asia Oceania Journal of Nuclear Medicine and Biology,17563
Banks and Bank Systems,17564
Carpathian Journal of Earth and Environmental Sciences,17565
College and Research Libraries News,17566
Conference Record - IEEE Instrumentation and Measurement Technology Conference,17567
Current History,17568
Eurasian Journal of Educational Research,17569
European Journal of Education and Psychology,17570
Flux,17571
Historia Critica,17572
Ilmu Kelautan: Indonesian Journal of Marine Sciences,17573
International Area Studies Review,17574
International Journal of Electrical and Electronic Engineering and Telecommunications,17575
International Journal of Men's Social and Community Health,17576
International Review of Applied Sciences and Engineering,17577
Journal of Argumentation in Context,17578
Journal of Asian American Studies,17579
Journal of Cardiovascular Echography,17580
Journal of Cold War Studies,17581
Journal of Derivatives,17582
"Journal of Financial Management, Markets and Institutions",17583
Korean Journal of Adult Nursing,17584
Law Reform: Jurnal Pembaharuan Hukum,17585
Orthopadie,17586
Phlebologie,17587
Proceedings of the Indian Academy of Sciences: Mathematical Sciences,17588
Proceedings of the National Academy of Sciences India Section A - Physical Sciences,17589
Proceedings of the Zoological Institute of the Russian Academy of Sciences,17590
Radioengineering,17591
Revista de Derecho Administrativo Economico,17592
Revista Espanola de la Transparencia,17593
Scientia Agricultura Sinica,17594
Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan,17595
South East European Journal of Economics and Business,17596
Technology Architecture and Design,17597
Tripodos,17598
Vestnik Sankt-Peterburgskogo Universiteta. Ekonomika,17599
World Earthquake Engineering,17600
WSEAS Transactions on Mathematics,17601
Advances in Dual Diagnosis,17602
Annals of Corporate Governance,17603
Applied Mathematics and Mechanics,17604
Archives Europeennes de Sociologie,17605
Arqueologia Iberoamericana,17606
Arqueologia y Territorio Medieval,17607
Asphalt Paving Technology: Association of Asphalt Paving Technologists-Proceedings of the Technical Sessions,17608
Boyhood Studies,17609
Electronic Journal of Plant Breeding,17610
Environment and Ecology Research,17611
European Journal of Adapted Physical Activity,17612
Evidence Based Library and Information Practice,17613
Forest Systems,17614
Geomatica,17615
Habitat Sustentable,17616
Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences,17617
InDret,17618
"Interface: Communication, Health, Education",17619
International Journal of Management and Enterprise Development,17620
"International Journal of Modelling, Identification and Control",17621
Iranian Journal of Veterinary Research,17622
Journal of Apicultural Science,17623
Journal of Fish Taxonomy,17624
"Journal of International Commerce, Economics and Policy",17625
Journal of Multiple-Valued Logic and Soft Computing,17626
Journal of Nanjing Forestry University (Natural Sciences Edition),17627
Museum Worlds,17628
Neurocase,17629
Nutrition: X,17630
REACH,17631
"Revista del Museo Argentino de Ciencias Naturales, Nueva Serie",17632
Revista Espanola de Linguistica Aplicada,17633
Revista Mexicana de Ciencias Forestales,17634
Romanian Astronomical Journal,17635
Silvae Genetica,17636
"Vestnik Volgogradskogo Gosudarstvennogo Universiteta, Seriia 4: Istoriia, Regionovedenie, Mezhdunarodnye Otnosheniia",17637
World Water Policy,17638
Acta Ortopedica Brasileira,17639
Agricultural Engineering,17640
Archivos de la Sociedad Espanola de Oftalmologia,17641
Biblical Annals,17642
"Bulletin of the South Ural State University, Series: Mathematical Modelling, Programming and Computer Software",17643
Case Reports in Critical Care,17644
Cogito,17645
Comunicacao e Sociedade,17646
Cuadernos de Prehistoria y Arqueologia de la Universidad de Granada,17647
Dongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Southeast University (Natural Science Edition),17648
Duke Environmental Law and Policy Forum,17649
Education for Information,17650
European Journal of Ecology,17651
Evidence-Based Dentistry,17652
Experimental and Clinical Transplantation,17653
Food Research,17654
Forensic Science Review,17655
Geologia nefti i gaza,17656
Geotechnical Special Publication,17657
Ikala,17658
Indonesian Journal of Electrical Engineering and Computer Science,17659
Infectious Diseases and Immunity,17660
Intellectual Economics,17661
International Journal of Image and Graphics,17662
International journal of implant dentistry,17663
Izvestiya - Atmospheric and Oceanic Physics,17664
Jezyk Polski,17665
Journal of Healthcare Quality Research,17666
Journal of Mechanics of Materials and Structures,17667
Journal of Muslim Mental Health,17668
Journal of Nursing Measurement,17669
Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,17670
Journal of the Kansas Entomological Society,17671
Journal of Veterinary Dentistry,17672
Onomazein,17673
Physical and Occupational Therapy in Geriatrics,17674
Polish Journal of Ecology,17675
REDES,17676
Revija Za Socijalnu Politiku,17677
Revista Brasileira de Direito Processual Penal,17678
Revista de Arqueologia,17679
"Revista Latinoamericana de Ciencias Sociales, Ninez y Juventud",17680
RUSI Journal,17681
Starinar,17682
Studies in Ethnicity and Nationalism,17683
Tappi Journal,17684
World Rabbit Science,17685
Archive of Mechanical Engineering,17686
Baltic Journal of Health and Physical Activity,17687
Biomedical Human Kinetics,17688
Biosystems Diversity,17689
Buffalo Law Review,17690
Case Reports in Dentistry,17691
Chemistry of Heterocyclic Compounds,17692
Comptes Rendus - Biologies,17693
Current Otorhinolaryngology Reports,17694
Dialectical Anthropology,17695
Engineering Transactions,17696
Entomological News,17697
European Education,17698
Food Science and Technology Research,17699
Gynecologie Obstetrique Fertilite et Senologie,17700
Hokkaido Mathematical Journal,17701
IEICE Transactions on Communications,17702
Industria Textila,17703
International Anesthesiology Clinics,17704
International Journal of Knowledge Management Studies,17705
Investment Management and Financial Innovations,17706
Journal for Peace and Nuclear Disarmament,17707
Journal of Education and Community Health,17708
Journal of Higher Education Outreach and Engagement,17709
Journal of Indonesian Economy and Business,17710
Journal of Interventional Medicine,17711
Journal of Music Theory,17712
Journal of System and Management Sciences,17713
Linguistics in the Netherlands,17714
Linguistics of the Tibeto-Burman Area,17715
Nuklearmedizin - NuclearMedicine,17716
Nursing Praxis in Aotearoa New Zealand,17717
Open Transportation Journal,17718
Polyolefins Journal,17719
Psykhe,17720
Reseaux,17721
Reviews in Medical Microbiology,17722
SPR Nanoscience,17723
Stapp car crash journal,17724
Veterinaria italiana,17725
Yosetsu Gakkai Ronbunshu/Quarterly Journal of the Japan Welding Society,17726
Zeitschrift fur Auslandisches Offentliches Recht und Volkerrecht,17727
Acta Agronomica Sinica(China),17728
"Advanced Journal of Chemistry, Section A",17729
African Identities,17730
African Journal of Thoracic and Critical Care Medicine,17731
Annotated Legal Documents on Islam in Europe,17732
Archivos Argentinos de Pediatria,17733
Balkan Social Science Review,17734
Baltic Forestry,17735
Baylor University Medical Center Proceedings,17736
Boletin Medico del Hospital Infantil de Mexico,17737
Bulletin of Experimental Biology and Medicine,17738
Bulletin of the Geological Survey of Finland,17739
Bulletin of the History of Medicine,17740
Computer-Aided Design and Applications,17741
Contemporary Jewry,17742
Current Research in Nutrition and Food Science,17743
Differencialnie Uravnenia i Protsesy Upravlenia,17744
Economists' Voice,17745
Education as Change,17746
Emergency and Critical Care Medicine,17747
Engineering Letters,17748
Farmacia,17749
FinanzArchiv,17750
Fluctuation and Noise Letters,17751
FormAkademisk,17752
Frontiers in Dentistry,17753
Geopersia,17754
Geoplanning,17755
Heart Surgery Forum,17756
HSE Economic Journal,17757
International Journal of Critical Illness and Injury Science,17758
International Journal of Performability Engineering,17759
International Journal of Risk and Safety in Medicine,17760
Italian Journal of Agrometeorology,17761
Jordan Journal of Business Administration,17762
Jordan Journal of Modern Languages and Literatures,17763
"Journal of Childhood, Education and Society",17764
Journal of Latin American Cultural Studies,17765
Journal of Porphyrins and Phthalocyanines,17766
"JSES Reviews, Reports, and Techniques",17767
Korean Journal of Mycology,17768
Language Learning in Higher Education,17769
Medical Journal of Malaysia,17770
Neuroforum,17771
Ornis Hungarica,17772
R-Economy,17773
Revue des Composites et des Materiaux Avances,17774
Russian Electrical Engineering,17775
Safety and Reliability,17776
Society,17777
Time and Mind,17778
Tire Science and Technology,17779
Transactions of the Association of European Schools of Planning,17780
Transactions of the Royal Society of South Australia,17781
Vascular and Endovascular Review,17782
"Vestnik Sankt-Peterburgskogo Universiteta, Filosofiia i Konfliktologiia",17783
Veterinarni Medicina,17784
Advances in Experimental Medicine and Biology,17785
Advances in Tribology,17786
Applied Biochemistry and Microbiology,17787
Applied Environmental Research,17788
Austral journal of veterinary sciences,17789
Brazilian Journal of Food Technology,17790
British and Irish Orthoptic Journal,17791
Chinese Journal of Ship Research,17792
Commonwealth and Comparative Politics,17793
Comptes Rendus Chimie,17794
Conflict and Society,17795
Czasopismo Geograficzne,17796
Estudios de Psicologia,17797
Gastrointestinal Disorders,17798
Geology and Exploration,17799
Helgoland Marine Research,17800
Indonesian Journal of Geography,17801
International Journal of Advanced Operations Management,17802
International Journal of Communication Networks and Information Security,17803
International Journal of Management and Sustainability,17804
International Journal of Management in Education,17805
Journal of Canadian Studies,17806
Journal of Cetacean Research and Management,17807
Journal of Clinical Ethics,17808
Journal of Emergency and Critical Care Medicine,17809
Journal of Histotechnology,17810
Journal of Korean Society for Atmospheric Environment,17811
Journal of Natural Disasters,17812
Journal of Relationships Research,17813
Languages in Contrast,17814
Lua Nova,17815
Memoirs on Differential Equations and Mathematical Physics,17816
Naukovyi Visnyk Natsionalnoho Hirnychoho Universytetu,17817
Nematropica,17818
Oriental Insects,17819
Pharmacia,17820
Philippine Journal of Fisheries,17821
Radiologic Technology,17822
Religion and Education,17823
Revista Derecho del Estado,17824
Russian Journal of Earth Sciences,17825
Russian Journal of Numerical Analysis and Mathematical Modelling,17826
SPE International Oilfield Chemistry Symposium Proceedings,17827
Studies in Communication Sciences,17828
"Thoracic and Cardiovascular Surgeon, Supplement",17829
Tongxin Xuebao/Journal on Communications,17830
Zeitschrift fur die gesamte Versicherungswissenschaft,17831
Zhongguo Huanjing Kexue/China Environmental Science,17832
Addicta: the Turkish Journal on Addictions,17833
Asian Journal of Transfusion Science,17834
Asia-Pacific Economic History Review,17835
"Canrea Journal: Food Technology, Nutritions, and Culinary Journal",17836
Chalcogenide Letters,17837
Demokratizatsiya,17838
Educacao e Sociedade,17839
Emotions and Society,17840
Engenharia Agricola,17841
Estudios Geograficos,17842
Foldtani Kozlony,17843
Historia Naturalis Bulgarica,17844
Indian Journal of Occupational and Environmental Medicine,17845
International Biomechanics,17846
International Journal of Applied Science and Engineering,17847
International Journal of Business and Emerging Markets,17848
International Journal of Learning and Intellectual Capital,17849
"International Journal of Modeling, Simulation, and Scientific Computing",17850
International Journal of Philosophical Studies,17851
International Journal of Sport Management and Marketing,17852
"International Journal of Technological Learning, Innovation and Development",17853
Iranian journal of Management Studies,17854
Journal of Applied Analysis,17855
Journal of Biologically Active Products from Nature,17856
Journal of Imaging Science and Technology,17857
Journal of Internationalization and Localization,17858
Journal of Microscopy and Ultrastructure,17859
"Journal of Negro Education, The",17860
Jurisprudence,17861
Kongzhi Lilun Yu Yinyong/Control Theory and Applications,17862
Language Related Research,17863
Liquid Blackness,17864
Metal Music Studies,17865
Open Astronomy,17866
Proceedings of the Annual Offshore Technology Conference,17867
Research on Crops,17868
"Revista Chapingo, Serie Horticultura",17869
Revista Iberoamericana de Viticultura Agroindustria y Ruralidad,17870
Society and Economy,17871
SOTL in the South,17872
South African Journal of Philosophy,17873
South East Asia Research,17874
Spanish Journal of Agricultural Research,17875
American Business Law Journal,17876
Applied Science and Convergence Technology,17877
Arabian Journal of Medicinal and Aromatic Plants,17878
Archives and Manuscripts,17879
Botanica Serbica,17880
Bulletin of the British Ornithologists' Club,17881
Bulletin of the Section of Logic,17882
Cato Journal,17883
Critical Philosophy of Race,17884
Doklady Biochemistry and Biophysics,17885
Dongli Gongcheng Xuebao/Journal of Chinese Society of Power Engineering,17886
E-Balonmano.com: Revista de Ciencias del Deporte,17887
Ecological Safety of Coastal and Shelf Zones of Sea,17888
Electronic Journal of Knowledge Management,17889
Encounters in Theory and History of Education,17890
Gaoya Dianqi/High Voltage Apparatus,17891
Geodetski Vestnik,17892
Geologica Macedonica,17893
Green Materials,17894
IEEE International Conference on Rehabilitation Robotics,17895
IFIP Advances in Information and Communication Technology,17896
Insecta Matsumurana,17897
International Journal of Environment and Waste Management,17898
International Journal of Machining and Machinability of Materials,17899
International Journal of School Health,17900
Iraqi Journal of Pharmaceutical Sciences,17901
Journal of Analytical Chemistry,17902
Journal of Communications,17903
Journal of Information Technology Management,17904
Journal of Rehabilitation,17905
Journal of Teaching and Learning,17906
Journal of the Philosophy of History,17907
Linguamatica,17908
Livestock Research for Rural Development,17909
Neuropsychopharmacologia Hungarica,17910
New Perspectives,17911
Notices of the American Mathematical Society,17912
Oceanological and Hydrobiological Studies,17913
Onomastica,17914
Postepy w Kardiologii Interwencyjnej,17915
"Problems of Atomic Science and Technology, Series Thermonuclear Fusion",17916
Revista Cubana de Educacion Medica Superior,17917
Revista Espanola de Geriatria y Gerontologia,17918
Stomatologija,17919
Studia Universitatis Babes-Bolyai Mathematica,17920
Surface Engineering and Applied Electrochemistry,17921
Ukrainian Journal of Physics,17922
Vestnik MGIMO-Universiteta,17923
Yuanzineng Kexue Jishu/Atomic Energy Science and Technology,17924
Zograf,17925
AATCC Journal of Research,17926
African and Black Diaspora,17927
Agronomy Research,17928
AIS Transactions on Replication Research,17929
Archaeologica Austriaca,17930
Asian Cardiovascular and Thoracic Annals,17931
Astronomy Reports,17932
Bio-Medical Materials and Engineering,17933
Biotechnologia,17934
Chinese Journal of Rice Science,17935
Dandao Xuebao/Journal of Ballistics,17936
Egyptian Journal of Radiology and Nuclear Medicine,17937
Genetic Resources,17938
Geographische Zeitschrift,17939
Glasnik Matematicki,17940
Heart International,17941
Historia Constitucional,17942
History of Geo- and Space Sciences,17943
Interdisciplinaria Archaeologica,17944
International Journal of Dairy Science,17945
International Journal on Communications Antenna and Propagation,17946
Italian Journal of Gynaecology and Obstetrics,17947
Journal of Allied Health,17948
Journal of Chemical Research,17949
Journal of clinical orthodontics : JCO,17950
Journal of Ecology and Rural Environment,17951
Journal of Reliability and Statistical Studies,17952
Journal of Road Safety,17953
Journal of the Indian Society of Soil Science,17954
Journal on Efficiency and Responsibility in Education and Science,17955
Mankind Quarterly,17956
"Muscles, Ligaments and Tendons Journal",17957
"Numerical Heat Transfer, Part B: Fundamentals",17958
Pacific Science,17959
Processing and Application of Ceramics,17960
Psychology of Language and Communication,17961
Quantum Electronics,17962
Revista Internacional de Andrologia,17963
Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,17964
Rusin,17965
Saudi Endodontic Journal,17966
Southern Forests,17967
Studia Theologica,17968
Texas Law Review,17969
TM. Technisches Messen,17970
UUM Journal of Legal Studies,17971
Zeitschrift fur Soziologie,17972
Zhongguo Youse Jinshu Xuebao/Chinese Journal of Nonferrous Metals,17973
Acta Botanica Hungarica,17974
Action Learning: Research and Practice,17975
Advances in Mathematical Sciences and Applications,17976
Agraarteadus,17977
American Health and Drug Benefits,17978
Aquatic Ecosystem Health and Management,17979
Asian Academy of Management Journal of Accounting and Finance,17980
Brazilian Dental Science,17981
Children's Literature in Education,17982
Ciencia Florestal,17983
Clinical Ethics,17984
Current Protocols in Nucleic Acid Chemistry,17985
Current Science,17986
Deutsche Zeitschrift fur Philosophie,17987
Epistemology and Philosophy of Science,17988
Geomechanik und Tunnelbau,17989
Hikma,17990
HNO,17991
Indian Journal of Leprosy,17992
International Journal of Advanced Technology and Engineering Exploration,17993
International Journal of Engineering Research in Africa,17994
International Journal of One Health,17995
ITE Transactions on Media Technology and Applications,17996
Journal of Dermatology and Dermatologic Surgery,17997
Journal of Hospital Librarianship,17998
Journal of Language Teaching and Research,17999
Journal of Religion in Europe,18000
Macroheterocycles,18001
Matematicki Vesnik,18002
Nordic Journal of Social Research,18003
"Phosphorus, Sulfur and Silicon and the Related Elements",18004
Proceedings - Graphics Interface,18005
Reinwardtia,18006
Revista Brasileira de Estudos de Populacao,18007
Revista de Derecho Privado,18008
Russian Journal of Electrochemistry,18009
Slavia Centralis,18010
Spanish Journal of Soil Science,18011
"Theatre, Dance and Performance Training",18012
Urological Science,18013
Vikalpa,18014
Wilson Journal of Ornithology,18015
Zeitschrift fur Gastroenterologie,18016
A&amp;A practice,18017
African Journal of Paediatric Surgery,18018
American Fern Journal,18019
Archives of Acoustics,18020
Archives of Mechanics,18021
Argumentation and Advocacy,18022
Australasian Journal of Ultrasound in Medicine,18023
Biodiversity,18024
Canadian Journal of Urban Research,18025
"Cement, Wapno, Beton",18026
Chinese Journal of Comparative Law,18027
Colloid Journal,18028
Colonial Latin American Review,18029
Communications - Scientific Letters of the University of Zilina,18030
Concrete Operators,18031
Conflict Resolution Quarterly,18032
"Culture, Theory and Critique",18033
Dependence Modeling,18034
Education in Medicine Journal,18035
Hangkong Dongli Xuebao/Journal of Aerospace Power,18036
Informatics and Automation,18037
Ingenierie des Systemes d'Information,18038
International Journal of Computer Networks and Applications,18039
International Journal of Electronics Letters,18040
International Journal of Entrepreneurship and Innovation Management,18041
"International Journal of Metadata, Semantics and Ontologies",18042
International Journal of Technology Management and Sustainable Development,18043
Irish Studies in International Affairs,18044
JBIS - Journal of the British Interplanetary Society,18045
Journal of Advanced Computational Intelligence and Intelligent Informatics,18046
Journal of Agriculture and Rural Development in the Tropics and Subtropics,18047
Journal of Bioeconomics,18048
Journal of Environmental Protection and Ecology,18049
Journal of Graphic Novels and Comics,18050
Journal of Inequalities and Special Functions,18051
Journal of Integrated Disaster Risk Management,18052
Journal of Mobile Multimedia,18053
Journal of Rangeland Science,18054
Journal of the Nepal Medical Association,18055
Medical Letter on Drugs and Therapeutics,18056
Natural History Sciences,18057
New Mathematics and Natural Computation,18058
Organic Preparations and Procedures International,18059
Panoeconomicus,18060
Performance Evaluation Review,18061
Progress in Computational Fluid Dynamics,18062
Progress In Electromagnetics Research Letters,18063
Recherche et Applications en Marketing,18064
Religion and Society,18065
Revista Brasileira de Fruticultura,18066
Revista Espanola de Anestesiologia y Reanimacion,18067
Revue d'Economie Politique,18068
Russian Journal of Cardiology,18069
Sains Tanah,18070
SEARCH Journal of Media and Communication Research,18071
Southeastern Europe,18072
Studia Scientiarum Mathematicarum Hungarica,18073
Support for Learning,18074
Surgery in Practice and Science,18075
Transactions of the Royal Institution of Naval Architects Part A: International Journal of Maritime Engineering,18076
Transport Problems,18077
Trimestre Economico,18078
World Cancer Research Journal,18079
Acque Sotterranee - Italian Journal of Groundwater,18080
Acta Linguistica Petropolitana,18081
Aquaculture Studies,18082
Asian Journal of Conservation Biology,18083
Boreal Environment Research,18084
Brazilian Business Review,18085
Bulletin of the Hospital for Joint Disease (2013),18086
Canadian Journal of Information and Library Science,18087
CERN IdeaSquare Journal of Experimental Innovation,18088
Chemical Industry and Chemical Engineering Quarterly,18089
Chinese Space Science and Technology,18090
